id_partL1,num_level,id_part,num_itemMatCost,num_itemCost,num_inv,num_poCost
362A2202P001,1,362A2202P001,21496.52133,0.0,21630.537269999997,0.0
362A4515P001,1,362A4515P001,138400.0,0.0,139313.44,0.0
372A4788P106,1,372A4788P106,29904.81,0.0,30102.1818,1.0
172A7319P001,1,172A7319P001,15223.1917,0.0,8756.379829000001,11026.86
395A3715P001,1,395A3715P001,3334.37,0.0,2237.5845329999997,4133.98591
91417067P121,1,91417067P121,20840.84,0.0,20978.3895,16368.435
146E3120G001,1,146E3120G001,22630.0,0.0,22779.357999999997,0.0
213B1147G001,1,213B1147G001,4121.25,0.0,4148.4503,0.0
108L1868G001,1,108L1868G001,29939.0,0.0,30136.5974,0.0
144E7421G027,1,144E7421G027,5400.9,0.0,3624.3639329999996,0.0
146E3124G040,1,146E3124G040,7575.0,0.0,7624.995,190181.4583
117T8273P001,1,117T8273P001,107575.0,0.0,61877.14,0.0
111T3677P0001,1,111T3677P0001,79537.0,0.0,64049.555360000006,0.0
141E8399G001,1,141E8399G001,22110.0,0.0,22255.926,22370.5107
124T1625G0001,1,124T1625G0001,1844.0,0.0,1060.6688,0.0
110T5209G0001,1,110T5209G0001,965.0,0.0,555.068,0.0
110T6423G0001,1,110T6423G0001,115.0,0.0,66.148,0.0
117T7022G0001,1,117T7022G0001,4199.0,0.0,2415.2648,0.0
114T1886G0001,1,114T1886G0001,3750.0,0.0,2157.0,48993.75
118T7521G0001,1,118T7521G0001,3320.0,0.0,1909.664,0.0
116T9018G0001,1,116T9018G0001,15520.0,0.0,8927.104,207968.0
110T8009G0001,1,110T8009G0001,8513.6019,0.0,4897.023829,0.0
110T5742G0001,1,110T5742G0001,821.29,0.0,472.406,0.0
109T3680P001,1,109T3680P001,59500.0,0.0,34224.4,0.0
112T2858P0001,1,112T2858P0001,77500.0,0.0,44578.0,0.0
122T7578G0001,1,122T7578G0001,4531.0,0.0,2606.2312,0.0
107T9358G0001,1,107T9358G0001,539.77,0.0,310.4757143,0.0
114T5571G0001,1,114T5571G0001,3822.22,0.0,2198.540971,0.0
103T9204G0001,1,103T9204G0001,41.0,0.0,41.2706,50.26
103T3696G0001,1,103T3696G0001,156.2,0.0,157.2309,0.0
398A1623P058,1,398A1623P058,1.5,0.0,1.5099,0.0
362A4537P200,1,362A4537P200,64179.0,0.0,64602.5814,64499.9
108L8237G006,1,108L8237G006,103776.0437,0.0,83568.77248,0.0
143E7303G005,1,143E7303G005,814298.2935,0.0,655738.1298,0.0
100T5421G004,1,100T5421G004,783966.3942,0.0,526093.7149,0.0
204D4565G025,1,204D4565G025,466852.0993,0.0,375946.6585,619175.9511
118T0170G0001,1,118T0170G0001,855053.0489,0.0,430348.1995,0.0
141E4665G008,1,141E4665G008,1566574.325,0.0,1051275.81,0.0
100T9020G007,1,100T9020G007,967547.4566,0.0,486966.6349,0.0
100T6852G011,1,100T6852G011,1451126.795,0.0,973802.821,0.0
711L2014G100,1,711L2014G100,244527.7857,0.0,123070.8346,0.0
102T3122G001,1,102T3122G001,2336964.636,0.0,2352388.603,0.0
102T3122G002,1,102T3122G002,2344994.1890000002,0.0,1573647.4340000001,0.0
102T3122G001,1,102T3122G001,0.0,0.0,0.0,0.0
103T2477G0002,1,103T2477G0002,726760.5627,0.0,585245.7459,825992.0
SMO1435156,1,SMO1435156,1068560.356,0.0,860490.2837,0.0
91116715G026WOB,1,91116715G026WOB,683435.3589,0.0,687946.0323,686852.54
103T2477G0008,1,103T2477G0008,755461.9322,0.0,506965.3207,0.0
101T7359G026,1,101T7359G026,2243309.735,0.0,1505410.386,0.0
101T7359G025,1,101T7359G025,2268104.789,0.0,1141537.14,0.0
146E2096G027,1,146E2096G027,2959835.08,0.0,1986246.6609999998,0.0
101T7359G013,1,101T7359G013,2248284.845,0.0,1131561.762,0.0
101T7359G001,1,101T7359G001,3623584.832,0.0,2918000.394,0.0
145E2555G040,1,145E2555G040,3445694.19,0.0,2312290.514,0.0
100T8376G011,1,100T8376G011,546191.5775,0.0,439837.1535,7464394.916
314B7165G036,1,314B7165G036,256795.68,0.0,129245.2658,0.0
101T6894G010,1,101T6894G010,1760058.542,0.0,885837.464,2434438.423
102T8803G002,1,102T8803G002,194267.2771,0.0,195549.4411,669257.2171
116E5252G008,1,116E5252G008,465543.1247,0.0,234307.8547,888578.3253
SMO1734506,1,SMO1734506,83383.19553,0.0,71908.49528999999,0.0
102T8803G002,1,102T8803G002,0.0,0.0,0.0,669257.2171
102T9907G0002,1,102T9907G0002,240687.92,0.0,193821.1682,0.0
109T8513G0008,1,109T8513G0008,787038.4101,0.0,396116.4318,778274.0721
392A5327G001,1,392A5327G001,161699.2468,0.0,162766.4618,0.0
143E5244G004,1,143E5244G004,22067.5513,0.0,17770.55776,0.0
138E6003G001,1,138E6003G001,73139.6871,0.0,36811.20455,73505.39
137E2531G003,1,137E2531G003,96608.0271,0.0,97245.64,91729.022
144E8623G006,1,144E8623G006,148990.9328,0.0,99982.8486,0.0
139E6913G001,1,139E6913G001,130287.0356,0.0,131146.93,123677.4836
109T8504G0001,1,109T8504G0001,326049.0602,0.0,218800.65600000002,333254.3083
111T3883G0001,1,111T3883G0001,582168.6652,0.0,390673.9856,620718.38
115T2730G0001,1,115T2730G0001,691020.05,0.0,347790.3912,0.0
115T2690G0002,1,115T2690G0002,511886.2686,0.0,257632.359,0.0
372A4432G004,1,372A4432G004,319195.3376,0.0,321302.0268,0.0
144E8823G005,1,144E8823G005,923008.2243,0.0,464550.0393,951914.4668
143E4615G007,1,143E4615G007,417164.8741,0.0,209959.0811,720832.12
101T9158G002,1,101T9158G002,201010.2786,0.0,202336.9465,621065.0923
119E2094G035,1,119E2094G035,76255.2208,0.0,38379.2526,76758.51
109T6154G0002,1,109T6154G0002,544961.1084,0.0,365705.2345,0.0
143E4615G011,1,143E4615G011,449175.1667,0.0,226069.8614,648129.27
118T2129G0002,1,118T2129G0002,586574.46,0.0,295222.9257,0.0
107T6388G0001,1,107T6388G0001,590559.1393,0.0,297228.4148,632277.1
109T8510G0004,1,109T8510G0004,610106.3391,0.0,409422.0273,605192.6112
101T7356G001,1,101T7356G001,1055802.7920000001,0.0,850216.872,0.0
100T8757G001,1,100T8757G001,21861.8466,0.0,17604.90784,28268.993
101T2625G001,1,101T2625G001,207387.7172,0.0,208756.4762,216529.0767
