id_baseReq,desc_frameFam,id_task,id_partL1,num_partCount,id_tparent,desc_projectState,id_req,id_frame,desc_status,num_stockInd,num_totLead,date_contractStart,date_issueFMI
CR3L,7/1FA,0719,101T5626G001,2,367A6980G006,Complete,CR3L,7FA.01,Active,0,78.8,3/20/2014,3/9/2016
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6897G004,Complete,CR3L,7FA.01,Active,0,52.57142857,5/10/2016,1/16/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6980G005,Complete,CR3L,7FA.01,Active,0,52.57142857,3/20/2014,3/10/2016
CR3L,7/1FA,0726,241C2882G014,33,367A6980G006,Complete,CR3L,7FA.01,Active,0,52.57142857,3/20/2014,3/9/2016
CR3L,7/1FA,0726,241C2882G014,33,367A4979G009,Complete,CR3L,7FA.03,Active,0,52.57142857,8/19/2015,12/22/2015
CR3L,7/1FA,0726,241C2882G014,33,367A4979G009,Complete,CR3L,7FA.03,Active,0,52.57142857,8/19/2015,12/22/2015
CR3L,7/1FA,0726,241C2882G014,33,367A6971G017,Complete,CR3L,7FA.03,Active,0,52.57142857,10/2/2014,1/20/2017
CR3L,7/1FA,0726,241C2882G014,33,367A6971G016,Complete,CR3L,7FA.03,Active,0,52.57142857,9/24/2014,10/20/2016
CR3L,7/1FA,0726,241C2882G014,33,367A4979G011,Complete,CR3L,7FA.03,Active,0,52.57142857,2/12/2016,1/11/2017
